"","stcd2","cycle","stateabrev","stcd","dem_share","dem_share_imputed","dpres","incumb","winner_dem","uncontested","votes_dem","votes_rep","votes_dem_est","votes_rep_est","chamber"
"194","1970s_2211",1972,"MI","2211",0.300504842365547,0.300504842365547,42.52,-1,0,0,58334,135786,58334,135786,"us_house"
"195","1970s_2212",1972,"MI","2212",0.508182028801717,0.508182028801717,35.31,1,1,0,83351,80667,83351,80667,"us_house"
"196","1970s_2213",1972,"MI","2213",0.865356300225293,0.865356300225293,83.6,1,1,0,97562,15180,97562,15180,"us_house"
"197","1970s_2214",1972,"MI","2214",0.548628472627865,0.548628472627865,39.99,1,1,0,93923,77273,93923,77273,"us_house"
"198","1970s_2215",1972,"MI","2215",0.666772008409019,0.666772008409019,39.46,1,1,0,97054,48504,97054,48504,"us_house"
"199","1970s_2216",1972,"MI","2216",0.6957562732123,0.6957562732123,46.25,1,1,0,110715,48414,110715,48414,"us_house"
"200","1970s_2217",1972,"MI","2217",0.671488773221247,0.671488773221247,39.62,1,1,0,123331,60337,123331,60337,"us_house"
"201","1970s_2218",1972,"MI","2218",0.473778324005027,0.473778324005027,37.11,0,0,0,85580,95053,85580,95053,"us_house"
"202","1970s_2219",1972,"MI","2219",0.289310091237102,0.289310091237102,31.86,-1,0,0,50355,123697,50355,123697,"us_house"
"203","1970s_2301",1972,"MN","2301",0.29288814889695,0.29288814889695,40.12,-1,0,0,59106,142698,59106,142698,"us_house"
"204","1970s_2302",1972,"MN","2302",0.429018793937084,0.429018793937084,40.65,-1,0,0,93433,124350,93433,124350,"us_house"
"205","1970s_2303",1972,"MN","2303",0.332497936670894,0.332497936670894,40.79,-1,0,0,66070,132638,66070,132638,"us_house"
"206","1970s_2304",1972,"MN","2304",0.72374632349093,0.72374632349093,53.13,1,1,0,138292,52786,138292,52786,"us_house"
"207","1970s_2305",1972,"MN","2305",0.729832218753038,0.729832218753038,55.53,1,1,0,135108,50014,135108,50014,"us_house"
"208","1970s_2306",1972,"MN","2306",0.489794736560768,0.489794736560768,47.24,-1,0,0,109955,114537,109955,114537,"us_house"
"209","1970s_2307",1972,"MN","2307",0.590490348347016,0.590490348347016,45.82,1,1,0,133067,92283,133067,92283,"us_house"
"210","1970s_2308",1972,"MN","2308",0.759244054293717,0.759244054293717,54.76,1,1,0,161823,51314,161823,51314,"us_house"
